#{"t_start": 1768475791.3345058, "env_id": "None"}
r,l,t
-371.383857,742,1.435068
-361.889782,751,1.981967
-345.295862,665,7.355229
-321.449662,849,11.31421
-368.381982,733,11.909531
-364.440475,749,17.88268
-337.191989,759,22.45305
-223.729124,1064,29.177271
-325.353723,872,29.965707
-370.138758,802,35.102893
-346.896423,633,41.387678
-362.914628,831,42.047024
-344.049321,949,51.288805
-370.198662,783,51.898316
-195.764153,755,52.476863
-87.251827,1148,62.488277
-357.59799,726,63.158288
-342.973611,733,69.243876
-346.404757,797,73.516819
-362.018131,809,74.232664
-334.18059,798,79.736182
-365.755203,707,84.080582
-378.458768,754,84.757116
-341.698189,825,90.374814
-321.415944,1056,95.463176
-102.987284,889,101.635594
-296.424675,1067,102.589745
-375.01491,956,112.346941
-365.127148,713,112.895471
-303.177514,1075,118.660071
-331.085862,990,123.850665
-366.428385,802,129.369826
-359.313425,680,129.993965
-307.854118,1091,135.016243
-373.942105,962,141.345245
-302.141676,998,146.705847
-236.425319,821,152.589117
-346.742153,805,153.245499
-214.968273,1150,163.21294
-323.846285,741,163.826629
-239.539136,1185,174.585374
-356.720372,922,175.450423
-346.932721,922,181.84623
-365.361587,786,186.527831
-371.610258,958,187.288863
-321.633168,841,192.843003
-201.631617,1157,197.841279
-361.441061,832,203.782893
-271.54708,1030,208.32247
-372.472825,957,214.925963
-159.580845,1353,216.202863
-357.688511,855,225.572392
-175.607452,1293,231.330719
-361.707941,873,235.227031
573.295123,3000,247.571332
-322.663388,850,255.233524
-339.538832,900,259.700136
-336.725244,862,265.833216
-376.306503,916,266.57745
-171.770626,1395,277.927241
-291.998249,1093,278.828734
-204.223323,790,290.368944
442.876623,1591,291.98736
-90.3126,1739,304.225202
-87.253762,1382,315.89168
-335.684942,771,316.50012
-222.165813,1268,322.927997
-364.746602,675,328.593073
-366.860097,932,334.99075
-35.787445,1452,344.809359
-190.908742,1053,345.564783
-114.838154,1321,351.259025
-66.009435,1557,356.097401
-355.989115,1006,365.625988
-153.936293,1089,366.675534
-360.124316,840,372.883962
-201.373125,1129,377.592349
-26.973105,1672,383.867414
-360.370435,920,393.569721
-306.014723,969,394.461749
-214.881982,946,403.515277
-338.808012,953,404.229078
-135.939416,1430,410.220712
-230.206997,1196,418.059
-23.796228,1532,429.730197
-289.235136,1080,434.912957
-140.886315,1265,440.97633
-203.330527,773,446.120978
-154.250388,1449,447.169197
257.508258,1091,457.373385
-125.846097,1527,464.297862
-171.171378,1328,470.421199
-93.710041,1461,480.681714
-210.261872,930,481.35681
-172.506662,1216,487.668972
-150.538595,1280,498.944498
-151.161956,1313,500.144348
-225.008155,1210,508.89545
-171.521374,1132,509.87647
-272.702557,999,518.519781
811.596004,2160,528.514072
-78.055591,1494,535.294614
-197.954558,1057,540.997553
59.905726,2264,551.397718
-298.534371,933,556.675756
-269.924792,984,557.395699
519.857377,3000,578.762118
-148.312814,1316,580.003063
0.458688,1970,591.793805
-255.382751,1066,597.399745
-45.518385,1481,607.667388
-145.898556,1289,608.707347
597.111729,1754,620.940318
-85.839311,1601,633.753258
-288.221854,1190,634.878256
-97.749428,1520,645.21821
-306.735703,896,650.702412
-325.413306,868,656.482465
-109.965388,1360,662.825356
-104.996757,1314,668.942658
-259.302096,1166,675.532863
390.722197,1133,680.976962
-176.043951,1440,686.971224
271.039727,2978,702.90844
627.614259,1732,708.479271
30.936981,1644,719.262094
-217.380103,1199,725.620749
624.833234,1437,735.775599
-198.158511,1239,736.742867
245.85512,2542,748.883626
-144.310523,1451,759.798438
-199.580055,1270,766.526232
-130.475028,1365,772.583403
-1.092863,1953,785.030185
-153.127666,1108,790.764147
-304.731396,815,791.388321
108.896629,1883,803.0902
-307.04676,937,816.128821
-196.705853,1210,817.084422
-361.096178,761,822.562871
-177.491069,1339,829.78509
-65.174698,1438,836.45434
-76.180014,1211,847.678109
-333.563317,811,848.391249
-362.398418,828,853.456435
302.517878,1235,859.346446
-25.941399,1885,873.544868
-205.208337,1315,880.19206
579.010659,1514,887.784517
-160.038021,1360,894.496123
-78.360639,1532,908.28409
482.425576,1058,915.441867
1525.25941,1904,922.711856
-271.420968,1012,933.489501
787.37785,1933,940.014721
-160.702546,1400,950.608742
-191.137651,1032,957.190039
-6.294849,1836,970.664522
155.386643,2551,983.261864
492.131433,1769,996.816076
-114.635296,1442,998.157715
628.611365,3000,1020.294315
-182.605777,1334,1027.054536
-193.085453,1085,1032.910011
-256.514874,1002,1039.142331
1032.302927,2968,1052.450721
-69.155321,1741,1065.447201
-78.940025,1952,1077.560094
-284.689081,1040,1078.396044
-116.3055,1200,1091.202861
-122.699455,1028,1092.219954
-137.434605,1272,1103.444733
-148.827311,1714,1110.010732
-81.176543,1259,1121.284695
-9.564699,2007,1133.329471
-365.880327,954,1134.231625
-263.377106,1168,1140.727149
321.417526,1127,1147.071289
681.712726,1739,1157.86794
596.195809,2346,1165.331475
-289.582694,1091,1176.707427
-366.943788,987,1177.611489
427.155063,1930,1188.572244
-336.938671,853,1189.398783
-201.412099,1236,1200.16597
-123.554555,1447,1206.995022
-184.258677,1033,1214.067658
-306.314384,1053,1219.84715
824.431425,3000,1236.010825
-267.318871,1054,1242.493242
-163.827606,1549,1255.067179
-339.986031,680,1255.589746
-330.28801,834,1256.284966
-339.975815,799,1261.814914
-169.884033,1049,1267.975812
-252.002051,1108,1274.408661
763.756822,2644,1286.94028
64.169719,1757,1298.190781
-294.061855,914,1298.946789
-332.311597,1023,1311.084036
-176.065175,1214,1312.173072
931.549566,1722,1323.605037
237.811911,2515,1335.457261
359.773076,1257,1347.449639
707.482202,3000,1364.810745
-322.247385,906,1365.524947
385.779853,1391,1379.488531
633.87968,1709,1386.53321
554.356011,1160,1392.685056
454.418101,1213,1398.62481
415.26176,1321,1403.98356
-190.165113,1076,1409.765132
-272.664375,1118,1416.049556
-166.039292,1360,1422.846781
-193.930594,912,1430.852394
-87.902598,1670,1437.190075
-61.430757,1734,1449.40507
-129.953464,1007,1455.771361
591.786662,1513,1463.623359
-247.137183,1148,1469.630602
-137.117657,1579,1485.603018
347.291429,931,1486.428885
-271.739659,952,1500.24278
-281.177871,974,1501.138308
-134.209449,1342,1513.850733
-85.233034,1644,1520.2613
-175.616939,1539,1527.444262
-314.470494,985,1533.867939
-130.050445,1428,1540.285942
-245.019182,976,1545.977091
-204.519295,1080,1552.974349
584.654672,1825,1565.51615
-275.123377,1106,1571.96714
374.797601,1466,1582.991665
-193.531109,1278,1584.13007
-313.920889,1008,1589.978403
-305.810948,966,1596.474798
-20.345137,2002,1607.750951
498.398129,1709,1614.594434
251.782413,2163,1626.136917
-178.687057,1170,1638.333538
1257.64703,3000,1651.365261
680.031529,2670,1662.053401
189.020269,2131,1674.500731
422.450591,1349,1681.641735
803.775063,3000,1707.85907
27.71295,1853,1716.452485
1144.957788,2863,1730.020441
689.302051,1954,1742.894747
79.682969,1606,1756.104784
-52.916123,1358,1757.462308
-126.494518,1724,1768.809641
1034.293976,3000,1786.501396
-363.624038,799,1791.157202
-224.016048,1178,1798.582321
-139.196305,1426,1803.561357
41.966678,2197,1814.157632
-187.030146,1119,1821.400387
-173.775308,1129,1822.506253
1119.691936,2798,1848.364655
-153.003905,1529,1855.895721
-331.956472,943,1861.42661
-283.419139,968,1862.402912
603.77385,2222,1880.324124
446.021272,3000,1893.674968
-342.730788,879,1894.518539
11.519161,1582,1906.130849
799.162674,1817,1916.943233
726.081796,2681,1928.959231
-217.147017,1057,1936.111487
105.224035,1908,1948.968276
823.748544,1847,1959.906286
-306.015438,995,1960.862921
413.442751,1548,1975.240828
-197.887734,1012,1982.387222
-257.985868,1033,1988.42245
-178.007595,1341,1994.576052
755.779336,2815,2008.133518
569.878241,2099,2021.98567
131.626827,2630,2035.76485
-35.253705,1431,2048.668687
728.647111,1254,2056.319876
221.542347,2749,2070.751873
-150.089558,1286,2084.91815
